0	0
1	76
2	101
3	97
4	114
5	110
6	32
7	109
8	111
9	82
10	108
11	116
12	100
13	112
14	115
15	105
16	103
17	38
18	104
19	59
20	78
21	120
22	113
23	117
24	83
25	99
26	69
27	118
28	121
29	107
30	44
31	119
32	102
33	98
34	84
35	67
36	89
37	74
38	46
39	87
40	63
41	60
42	61
43	34
44	37
45	62
46	47
47	33
48	10
49	58
50	80
51	45
52	66
53	65
54	8212
55	95
56	68
57	8217
58	70
59	71
60	43
61	122
62	73
63	85
64	77
65	49
66	50
67	48
68	53
69	40
70	41
71	86
72	72
73	39
74	106
75	36
76	51
77	57
78	35
79	56
80	55
81	52
82	79
83	92
84	88
85	91
86	93
87	64
88	8221
89	8220
90	75
91	54
92	9
93	81
94	96
95	8230
96	8211
97	123
98	125
99	124
100	42
101	163
102	94
103	173
104	126
105	229
106	601
107	175
108	12484
109	160
110	90
111	233
112	8209
113	187
114	8232
115	9656
116	244
117	197
