0	0
1	77
2	225
3	115
4	32
5	73
6	110
7	102
8	111
9	114
10	109
11	97
12	99
13	105
14	243
15	69
16	116
17	100
18	101
19	108
20	67
21	103
22	38
23	104
24	112
25	59
26	83
27	117
28	113
29	66
30	68
31	106
32	122
33	237
34	44
35	118
36	98
37	84
38	74
39	107
40	46
41	191
42	78
43	120
44	233
45	63
46	60
47	61
48	34
49	37
50	62
51	47
52	121
53	10
54	80
55	58
56	119
57	45
58	87
59	95
60	241
61	76
62	70
63	71
64	43
65	65
66	250
67	82
68	193
69	49
70	50
71	48
72	53
73	40
74	41
75	79
76	72
77	161
78	33
79	36
80	51
81	57
82	86
83	89
84	52
85	56
86	35
87	85
88	81
89	218
90	88
91	55
92	125
93	39
94	91
95	93
96	64
97	8203
98	8594
99	54
100	9
101	75
102	96
103	171
104	187
105	8230
106	8211
107	252
108	123
109	186
110	124
111	42
112	163
113	94
114	126
115	160
116	92
117	175
118	12484
119	8220
120	90
121	8221
122	173
123	8212
124	8217
125	215
126	201
127	9656
128	211
129	209
